task_uid,benchmark,log_episodes,M_g,M_g_a0_small,M_g_a0_large,m_g,A_g,U_g1,D_g1,U_g0,D_g0,lead_derivative_U_g
mbpp/738,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/739,mbpp,8,2,2,0,0,0.0,0.0,0.0,0.0,8.0,-0.0026223457854289843
mbpp/74,mbpp,8,3,3,0,2,0.0,0.0,4.0,0.0,8.0,-0.0015570333816124252
mbpp/741,mbpp,8,7,3,4,4,0.0,10.0,10.0,4.0,4.0,-0.008623110417313323
mbpp/746,mbpp,8,3,2,1,2,2.0,4.0,4.0,0.0,0.0,0.004047768544167437
mbpp/747,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/749,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/750,mbpp,8,4,0,4,3,0.0,0.0,8.0,0.0,0.0,0.002730624807633118
mbpp/751,mbpp,8,3,3,0,3,1.5,2.0,2.0,0.0,0.0,0.0033238842720837184
mbpp/752,mbpp,8,8,4,4,6,-0.5,0.0,12.0,0.0,4.0,-0.0006152356812648152
mbpp/753,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/754,mbpp,8,1,1,0,1,0.5,0.0,0.0,0.0,4.0,0.0005888271072855078
mbpp/756,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/757,mbpp,8,2,0,2,1,0.0,0.0,4.0,0.0,0.0,0.0016653124038165591
mbpp/758,mbpp,8,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/762,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/767,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/77,mbpp,8,2,2,0,2,0.0,0.0,0.0,6.0,6.0,0.007286202333402129
mbpp/771,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/775,mbpp,8,1,1,0,0,0.0,2.0,2.0,0.0,0.0,-0.0023761157279162818
mbpp/780,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/781,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/783,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/786,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/787,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/788,mbpp,8,4,4,0,1,0.0,4.0,8.0,0.0,0.0,-0.003086919052016005
mbpp/790,mbpp,8,1,1,0,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
mbpp/794,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/796,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/800,mbpp,8,7,3,4,1,0.5,2.0,2.0,12.0,12.0,0.016496288938887976
mbpp/802,mbpp,8,8,4,4,3,0.0,0.0,8.0,0.0,12.0,-0.0012028938705103587
mbpp/803,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/804,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/805,mbpp,8,2,2,0,1,1.0,4.0,4.0,0.0,0.0,-0.00035223145583256326
mbpp/808,mbpp,8,3,3,0,0,0.0,0.0,0.0,2.0,2.0,0.0028287341111340432
mbpp/809,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/83,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/85,mbpp,8,1,1,0,1,0.0,0.0,0.0,2.0,2.0,0.0022287341111340434
mbpp/86,mbpp,8,2,2,0,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
mbpp/87,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/89,mbpp,8,7,4,3,2,0.0,10.0,10.0,2.0,10.0,-0.012874190313876351
mbpp/91,mbpp,8,1,1,0,0,0.0,0.0,2.0,0.0,0.0,0.0011326562019082795
mbpp/92,mbpp,8,6,4,2,1,0.0,4.0,4.0,0.0,4.0,-0.006663404348547055
mbpp/93,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/98,mbpp,8,1,1,0,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
